class,precision,recall,f1-score,support
충전,0.8771929824561403,0.9433962264150944,0.9090909090909091,53.0
카드,0.8196286472148541,0.7169373549883991,0.7648514851485149,431.0
카톡보내다,0.0,0.0,0.0,0.0
카페,0.0,0.0,0.0,0.0
켜다,0.7397769516728625,0.8122448979591836,0.77431906614786,245.0
타다,0.0,0.0,0.0,0.0
택시,0.8164251207729468,0.8848167539267016,0.8492462311557789,191.0
터널,0.8700564971751412,0.9005847953216374,0.8850574712643678,171.0
트렁크닫다,0.0,0.0,0.0,0.0
트렁크열다,0.8287671232876712,0.8832116788321168,0.8551236749116607,137.0
틀리다,0.8148148148148148,0.8627450980392157,0.8380952380952381,51.0
틈,0.8936170212765957,0.9333333333333333,0.9130434782608695,45.0
파리바게트,0.8928571428571429,0.9722222222222222,0.9308510638297872,180.0
편의점,0.8260869565217391,0.95,0.8837209302325582,40.0
편지,0.8888888888888888,0.9290322580645162,0.9085173501577287,155.0
표,0.5714285714285714,0.36363636363636365,0.4444444444444444,22.0
표지판,0.0,0.0,0.0,0.0
필요,0.7862595419847328,0.9279279279279279,0.8512396694214877,111.0
필요없다,0.0,0.0,0.0,0.0
하나,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0
하루,0.0,0.0,0.0,0.0
학교,0.7272727272727273,0.6746987951807228,0.7,83.0
한국농아인협회,0.943127962085308,0.5621468926553672,0.7044247787610619,354.0
한달,0.0,0.0,0.0,0.0
할수있다,0.0,0.0,0.0,6.0
항상,0.8615384615384616,0.9655172413793104,0.9105691056910569,58.0
해보다,0.0,0.0,0.0,0.0
핸드폰,0.6744186046511628,0.6904761904761905,0.6823529411764706,42.0
화나다,0.9142857142857143,0.5818181818181818,0.7111111111111111,55.0
화장실,0.9,0.391304347826087,0.5454545454545454,23.0
확인,0.7254098360655737,0.946524064171123,0.8213457076566125,187.0
확인증,0.0,0.0,0.0,0.0
회의실,0.8387096774193549,0.896551724137931,0.8666666666666667,58.0
횡단보도,0.0,0.0,0.0,0.0
후,0.0,0.0,0.0,0.0
힘들다,0.0,0.0,0.0,0.0
__BLANK__,0.9620402597138263,0.9209336762528252,0.9410382758449056,51324.0
accuracy,0.89111443412561,0.89111443412561,0.89111443412561,0.89111443412561
macro avg,0.5039890933546033,0.4941515177713555,0.48825458821193984,101648.0
weighted avg,0.8985896108218445,0.89111443412561,0.8919552005753995,101648.0
